TS;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878603000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878593000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878593000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878599000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878600000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878601000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878602000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878603000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878662000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878662000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878662000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878662000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878663000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878663000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878663000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878664000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878664000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878664000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878665000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878665000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878665000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878666000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878666000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878666000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878666000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878667000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878667000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878667000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878668000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878668000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878668000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878669000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878669000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878669000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878670000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878670000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878670000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878670000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878671000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878671000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878671000000000;Eachine_TX805;5865;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878678000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878678000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878679000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878680000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878681000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878682000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878683000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878684000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878685000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878686000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878687000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878688000000000;Eachine_TX805;5845;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878699000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878699000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878699000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878700000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878700000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878700000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878701000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878701000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878701000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878702000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878702000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878702000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878702000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878703000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878703000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878703000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878704000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878704000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878704000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878705000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878705000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
1622878705000000000;Eachine_TX805;5845;200.0;23.01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-200.0;-23.01
