TS;Test;Model;Target Band;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1623849698000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,06;14,48;3,06;0,5
1623849698000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,1;14,49;3,1;0,51
1623849699000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,07;14,48;3,07;0,5
1623849699000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,03;14,48;3,03;0,5
1623849700000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,03;14,48;3,03;0,5
1623849700000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,95;14,46;2,95;0,49
1623849700000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,01;14,47;3,01;0,49
1623849701000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,01;14,47;3,01;0,49
1623849701000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,99;14,47;2,99;0,49
1623849702000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,95;14,46;2,95;0,49
1623849702000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,95;14,46;2,95;0,48
1623849702000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,97;14,47;2,97;0,49
1623849703000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,96;14,46;2,96;0,49
1623849703000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,93;14,46;2,93;0,48
1623849704000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,89;14,45;2,89;0,47
1623849704000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,96;14,47;2,96;0,49
1623849704000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,87;14,45;2,87;0,47
1623849705000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,82;14,44;2,82;0,47
1623849705000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,84;14,45;2,84;0,47
1623849706000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,84;14,45;2,84;0,47
1623849706000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,8;14,44;2,8;0,46
1623849707000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,77;14,44;2,77;0,46
1623849707000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,83;14,45;2,83;0,47
1623849707000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,78;14,44;2,78;0,46
1623849708000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,75;14,43;2,75;0,45
1623849708000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,78;14,44;2,78;0,46
1623849709000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,74;14,43;2,74;0,45
1623849709000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,69;14,42;2,69;0,44
1623849709000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;27,71;14,43;2,71;0,45
1623849717000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;30,0;14,77;5,0;0,79
1623849717000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;30,05;14,78;5,05;0,8
1623849718000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,92;14,76;4,92;0,78
1623849718000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,88;14,75;4,88;0,78
1623849718000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,81;14,74;4,81;0,76
1623849719000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,87;14,75;4,87;0,77
1623849719000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,84;14,75;4,84;0,77
1623849720000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,67;14,72;4,67;0,74
1623849720000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,68;14,72;4,68;0,75
1623849720000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,65;14,72;4,65;0,74
1623849721000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,57;14,71;4,57;0,73
1623849721000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,54;14,7;4,54;0,73
1623849722000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,59;14,71;4,59;0,73
1623849722000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,6;14,71;4,6;0,73
1623849722000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,62;14,72;4,62;0,74
1623849723000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,59;14,71;4,59;0,73
1623849723000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,7;14,73;4,7;0,75
1623849724000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,67;14,72;4,67;0,74
1623849724000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,67;14,72;4,67;0,74
1623849725000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,66;14,72;4,66;0,74
1623849725000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,68;14,72;4,68;0,75
1623849725000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,66;14,72;4,66;0,74
1623849726000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,61;14,71;4,61;0,73
1623849726000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,57;14,71;4,57;0,73
1623849727000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,59;14,71;4,59;0,73
1623849727000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,64;14,72;4,64;0,74
1623849727000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,64;14,72;4,64;0,74
1623849728000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,66;14,72;4,66;0,74
1623849728000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,7;14,73;4,7;0,75
1623849729000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,77;14,74;4,77;0,76
1623849729000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,64;14,72;4,64;0,74
1623849729000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,64;14,72;4,64;0,74
1623849730000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,53;14,7;4,53;0,72
1623849730000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,48;14,69;4,48;0,72
1623849731000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,52;14,7;4,52;0,72
1623849731000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,45;14,69;4,45;0,71
1623849731000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,46;14,69;4,46;0,71
1623849732000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,45;14,69;4,45;0,71
1623849732000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,38;14,68;4,38;0,7
1623849733000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,39;14,68;4,39;0,7
1623849733000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,34;14,68;4,34;0,7
1623849733000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,36;14,68;4,36;0,7
1623849734000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,28;14,67;4,28;0,69
1623849734000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,34;14,67;4,34;0,7
1623849735000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,26;14,66;4,26;0,68
1623849735000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,33;14,67;4,33;0,69
1623849735000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,28;14,67;4,28;0,69
1623849736000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,27;14,66;4,27;0,69
1623849736000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,21;14,66;4,21;0,68
1623849737000000000;20210616_1623849663;EACHINE_TX805;A;5845;25,0;13,98;Teststand, bench band-A pwr-all;29,19;14,65;4,19;0,67
1623849746000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,79;14,44;2,79;0,46
1623849746000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,73;14,43;2,73;0,45
1623849747000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,84;14,45;2,84;0,47
1623849747000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,77;14,44;2,77;0,46
1623849748000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,88;14,45;2,88;0,47
1623849748000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,91;14,46;2,91;0,48
1623849748000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,9;14,46;2,9;0,48
1623849749000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,94;14,46;2,94;0,48
1623849749000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,78;14,44;2,78;0,46
1623849750000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,76;14,43;2,76;0,46
1623849750000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,73;14,43;2,73;0,45
1623849750000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,73;14,43;2,73;0,45
1623849751000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,75;14,43;2,75;0,45
1623849751000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,68;14,42;2,68;0,44
1623849752000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,64;14,42;2,64;0,44
1623849752000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,61;14,41;2,61;0,43
1623849752000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,74;14,43;2,74;0,45
1623849753000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,73;14,43;2,73;0,45
1623849753000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,77;14,44;2,77;0,46
1623849754000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,67;14,42;2,67;0,44
1623849754000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,64;14,42;2,64;0,44
1623849754000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,61;14,41;2,61;0,43
1623849755000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,58;14,41;2,58;0,43
1623849755000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,54;14,4;2,54;0,42
1623849756000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,46;14,39;2,46;0,41
1623849756000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,42;14,38;2,42;0,4
1623849756000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,38;14,37;2,38;0,39
1623849757000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,46;14,39;2,46;0,41
1623849757000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,36;14,37;2,36;0,39
1623849758000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,37;14,37;2,37;0,39
1623849758000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,27;14,36;2,27;0,38
1623849758000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,31;14,36;2,31;0,38
1623849759000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,25;14,35;2,25;0,38
1623849759000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,22;14,35;2,22;0,37
1623849760000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,16;14,34;2,16;0,36
1623849760000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,16;14,34;2,16;0,36
1623849760000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,18;14,34;2,18;0,36
1623849761000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,17;14,34;2,17;0,36
1623849761000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,17;14,34;2,17;0,36
1623849762000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,13;14,33;2,13;0,35
1623849762000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,15;14,34;2,15;0,36
1623849762000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,09;14,33;2,09;0,35
1623849763000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,04;14,32;2,04;0,34
1623849763000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,1;14,33;2,1;0,35
1623849764000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,07;14,33;2,07;0,35
1623849764000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,04;14,32;2,04;0,34
1623849765000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,06;14,32;2,06;0,34
1623849765000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,06;14,32;2,06;0,34
1623849765000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,05;14,32;2,05;0,34
1623849766000000000;20210616_1623849663;EACHINE_TX805;A;5825;25,0;13,98;Teststand, bench band-A pwr-all;27,03;14,32;2,03;0,34
1623849783000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,34;14,52;3,34;0,54
1623849783000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,36;14,53;3,36;0,55
1623849784000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,35;14,53;3,35;0,55
1623849784000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,29;14,52;3,29;0,54
1623849784000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,2;14,5;3,2;0,52
1623849785000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,36;14,53;3,36;0,55
1623849785000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,32;14,52;3,32;0,54
1623849786000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,28;14,51;3,28;0,54
1623849786000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,27;14,51;3,27;0,53
1623849786000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,28;14,51;3,28;0,54
1623849787000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,17;14,5;3,17;0,52
1623849787000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,13;14,49;3,13;0,51
1623849788000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,19;14,5;3,19;0,52
1623849788000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,13;14,49;3,13;0,51
1623849788000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,16;14,5;3,16;0,52
1623849789000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,12;14,49;3,12;0,51
1623849789000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,1;14,49;3,1;0,51
1623849790000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,08;14,48;3,08;0,51
1623849790000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,1;14,49;3,1;0,51
1623849791000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,08;14,48;3,08;0,5
1623849791000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,08;14,48;3,08;0,5
1623849791000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,11;14,49;3,11;0,51
1623849792000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,98;14,47;2,98;0,49
1623849792000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,06;14,48;3,06;0,5
1623849793000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,07;14,48;3,07;0,5
1623849793000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,03;14,48;3,03;0,5
1623849793000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,01;14,47;3,01;0,49
1623849794000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,05;14,48;3,05;0,5
1623849794000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,03;14,48;3,03;0,5
1623849795000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,05;14,48;3,05;0,5
1623849795000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,04;14,48;3,04;0,5
1623849796000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;28,0;14,47;3,0;0,49
1623849796000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,97;14,47;2,97;0,49
1623849796000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,91;14,46;2,91;0,48
1623849797000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,93;14,46;2,93;0,48
1623849797000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,9;14,46;2,9;0,48
1623849798000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,87;14,45;2,87;0,47
1623849798000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,94;14,46;2,94;0,48
1623849798000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,92;14,46;2,92;0,48
1623849799000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,82;14,44;2,82;0,46
1623849799000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,86;14,45;2,86;0,47
1623849800000000000;20210616_1623849663;EACHINE_TX805;A;5805;25,0;13,98;Teststand, bench band-A pwr-all;27,87;14,45;2,87;0,47
